Date,2001-12-17 00:00:00,3:15P.M. Eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brokerage house,TFS Enegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broker ,Keith  Kelly / Dan Wayland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOM,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,Q1-02,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,Q2-02,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,Q3-02,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,Q4-02,,Q1-03,Q2-03,Q3-03,Q4-03,Cal-04,Cal-05,Cal-06,Cal-07,Cal-08,Cal-09,Cal-10,Cal-11,Cal-12,Cal-13,Cal-14,Cal-15,,
,Palo Verde,,,20,,,17.5,,,,15.75,,,,26,,,,20, ,16.25,17.5,28.5,23,22,22.2,22.4,22.599999999999998,22.799999999999997,22.999999999999996,23.199999999999996,23.399999999999995,23.599999999999994,23.799999999999994,23.999999999999993,24.199999999999992,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASIS POINTS,,BOM,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,Q1-02,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,Q2-02,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,Q3-02,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,Q4-02,,Q1-03,Q2-03,Q3-03,Q4-03,Cal-04,Cal-05,Cal-06,Cal-07,Cal-08,Cal-09,Cal-10,Cal-11,Cal-12,Cal-13,Cal-14,Cal-15,,
ON PEAK,Montana (midc),-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5, ,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,,
,NW Delivered (midc),-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5, ,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,,
,Busbar (midc),-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2, ,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,,
,NOB (cob),,0,0,0,1,0.3,2,3,5,3.3,6,5,3,4.66,0,0,0,0, ,0.25,3,4.5,0,1,0.75,0.5,0.5,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,
,ZP26 (sp15),-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5, ,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,,
,MEAD 230 (pv),0.75,1,0.75,0.75,0.5,0.5,2,2.25,2.5,2.25,4,8,6,6.25,0,0,0.25,0.1,,0.75,1.5,3.75,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
,Pinnacle Peak (pv),,0.5,0.385,0.385,0.25,0.25,1,1.125,1.25,1.125,2,4,3,3.125,0,0,0.125,0.05, ,0.375,0.75,1.875,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,
,Four Corners 345 (pv),,0.25,0.1925,0.1925,0.125,0.125,0.5,0.5625,0.625,0.5625,1,2,1.5,1.5625,0,0,0.0625,0.025, ,0.1875,0.375,0.9375,0.25,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,,
,Mona (pv),,-1,-1.5,-1.5,-1,-1.3,0,0,0,0,2,4,3,3.1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Craig (pv),,0.25,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
OFF PEAK,Montana (midc),-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5, ,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,,
,NW Delivered (midc),-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25, ,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,-2.25,,
,Busbar (midc),-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75, ,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,,
,NOB (cob),0,-1,-1,0,0.25,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1, ,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,,
,ZP26 (sp15),,0,0,0,0.5,0.15,1,1.5,2.5,1.65,3,2.5,1.5,2.33,0,0,0,0, ,0.125,1.5,2.25,0,0.5,0.375,0.25,0.25,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,,
,MEAD 230 (pv),-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75, ,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,,
,Pinnacle Peak (pv),0.375,0.5,0.375,0.375,0.25,0.25,1,1.125,1.25,1.125,2,4,3,3.125,0,0,0.125,0.05, ,0.375,0.75,1.875,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,
,Four Corners 345 (pv),,0.25,0.1925,0.1925,0.125,0.125,0.5,0.5625,0.625,0.5625,1,2,1.5,1.5625,0,0,0.0625,0.025, ,0.1875,0.375,0.9375,0.25,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,,
,Mona (pv),,0.125,0.09625,0.09625,0.0625,0.0625,0.25,0.28125,0.3125,0.28125,0.5,1,0.75,0.78125,0,0,0.03125,0.0125, ,0.09375,0.1875,0.46875,0.125,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,,
,Craig (pv),,-0.5,-0.75,-0.75,-0.5,-0.65,0,0,0,0,1,2,1.5,1.55,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
