DEAL #,EOL #,COUNTERPARTY,DEAL DATE,FLOW START,FLOW END,PRICE,VOLUME,TRADER,DELIVERY POINT,DEAL TYPE,CATEGORY,BUY/SALE,PHYSICAL/FINANCIAL,FIRMNESS
579023.1,,Nevada Power Company,2001-04-11 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,290,30800,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
580253.1,,Nevada Power Company,2001-04-12 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,280,61600,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
584105.1,,Nevada Power Company,2001-04-17 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,265,30800,Mike  Swerzbin,PALO VERDE,FORWARD,CMDTY,S,P,Firm
584112.1,,Nevada Power Company,2001-04-17 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,255,30800,Mike  Swerzbin,PALO VERDE,FORWARD,CMDTY,S,P,Firm
587477.1,,Nevada Power Company,2001-04-20 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,230,30800,Bob  Badeer,PALO VERDE,FORWARD,CMDTY,S,P,Firm
606734.1,,Nevada Power Company,2001-05-09 00:00:00,2003-07-01 00:00:00,2003-09-30 00:00:00,104,30800,Mike  Swerzbin,PALO VERDE,FORWARD,CMDTY,S,P,Firm
618330.1,,Nevada Power Company,2001-05-22 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,74,122800,Matt  Motley,Mead-230KV,FORWARD,CMDTY,S,P,Firm
618331.1,,Nevada Power Company,2001-05-22 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,54,122800,Matt  Motley,PALO VERDE,FORWARD,CMDTY,B,P,Firm
618364.1,,Nevada Power Company,2001-05-22 00:00:00,2002-07-01 00:00:00,2002-09-30 00:00:00,210,30800,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
633719.1,,Nevada Power Company,2001-06-05 00:00:00,2002-04-01 00:00:00,2002-09-30 00:00:00,121.5,123200,Matt  Motley,Mead-230KV,FORWARD,CMDTY,S,P,Firm
633720.1,,Nevada Power Company,2001-06-05 00:00:00,2002-04-01 00:00:00,2002-09-30 00:00:00,89,123200,Matt  Motley,PALO VERDE,FORWARD,CMDTY,B,P,Firm
633722.1,,Nevada Power Company,2001-06-05 00:00:00,2002-04-01 00:00:00,2002-09-30 00:00:00,121.5,123200,Matt  Motley,Mead-230KV,FORWARD,CMDTY,S,P,Firm
633723.1,,Nevada Power Company,2001-06-05 00:00:00,2002-04-01 00:00:00,2002-09-30 00:00:00,89,123200,Matt  Motley,PALO VERDE,FORWARD,CMDTY,B,P,Firm
633725.1,,Nevada Power Company,2001-06-05 00:00:00,2002-04-01 00:00:00,2002-06-30 00:00:00,52,61600,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
658458.1,,Nevada Power Company,2001-06-21 00:00:00,2003-07-01 00:00:00,2003-09-30 00:00:00,68,30800,Matt  Motley,PALO VERDE,FORWARD,CMDTY,S,P,Firm
881984.1,,Nevada Power Company,2001-11-28 00:00:00,2001-11-29 00:00:00,2001-11-29 00:00:00,3.48,366,Les  Rawson,Mead-230KV,FORWARD,TRANS,B,P,Firm
894686.1,,Nevada Power Company,2002-01-02 00:00:00,2001-11-30 00:00:00,2001-11-30 00:00:00,224.39,1,Bill  Williams III,Mead 500KV Node,FORWARD,TRANS,B,P,Firm
